10*5										
	DKG-PPO		FIFO		SPT		LPT		EDD	
Instance	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness
0	577.74	755.98	496.74	1032.38	848.74	3046.88	985.74	8468.54	846.74	2072.83
1	465.79	691.68	397.79	717.75	529	1512.31	1202.79	10018.75	603	1120.71
2	383.11	616.97	515.11	1764.23	502	1749.03	1316	11377.25	963.11	2240.26
3	439.73	607.42	495.73	1490.2	986	2402.2	1165.73	10228.45	638.73	1648.63
4	354	317.18	406.77	891.57	509.77	1404.54	1221	11121.11	684.77	1227.5
5	338.41	338.79	376	872.48	499	1323.42	1083	10688.76	702	1461.08
6	308.64	118.19	435.64	1068.38	516.64	801.47	1375.64	13626.61	762.64	1470.51
7	351.82	673.55	320	791.22	630	1850.48	1030.82	9784.65	670.82	2010.19
8	352.47	405.62	473.47	956.21	370	499.3	931.47	6937.3	562.47	1209.65
9	343	325.36	441	1164.12	558.83	1732.93	687	5783.79	848.83	1371.84
10	578.21	533.82	512.21	1363.31	479	700.07	1347.21	11979.03	725	1229.63
11	422	544.02	343.29	797.79	477	1492.46	1018.29	8177.15	658	1631.28
12	388.08	390.46	541.08	1819.58	535	2035.26	672.08	4190.55	564.08	1155.68
13	379.83	543.49	336	954.36	740.83	2358.3	1263.83	9684.47	566.83	1238.32
14	470.21	846.95	563	1087.02	557.21	1332.82	968.21	8571.46	594.21	1119.79
15	356	249.89	453.71	1226.02	512	1095.73	1030	8174.72	533	944.79
16	441.87	724.3	432.87	1536.96	523.87	2216.84	1333.87	12172.13	675.87	1843.18
17	460.49	763.18	416.49	1080.91	499.49	1077.45	1083.49	8795.94	624	1243.07
18	467	542.63	498	1495.26	697.55	1868.5	1057	10519.54	792.55	1307.75
19	447.38	788.69	435	1282.43	541	1118.73	1289.38	10588.37	1030.38	2064.46
20	440.58	994.6	460.58	1258.5	477	1039.04	928.58	7678.27	805.58	2017.49
21	334	725.75	461.13	1176.05	668	2408.49	1114.13	10801.91	500.13	1515.24
22	459	556.51	379.95	960.36	565	1889.48	1441.95	11546.36	754.95	1494.45
23	420.74	765.8	472	1293.51	555	1104.78	1009.74	8778.4	768.74	1946.14
24	439.84	727.67	351	859.69	556.84	1778.44	891.84	7629.47	699.84	1610.94
25	466	385.3	349	628.15	424	1087.95	815.38	6366.84	869	1101.9
26	396.35	357.14	457.35	1201.4	700	1463.81	1146.35	11956.23	503.35	1164.16
27	350	373.92	348	591.3	610.48	1105.5	790	5283.99	651.48	1014.88
28	310.21	249.92	315.21	1153.09	591	1648.54	967.21	7236.52	674.21	1518.98
29	536.11	602.54	394	1385.81	494	793.95	853	7367.75	677.11	1323.91
										
运行时间	0.667 	0.005 	0.004 	0.003 	0.004 


