DRLU		
Makespan	Tardiness	time
730	5.04	0.715
729	0.8	
763	10.8	
697	4.88	
730	4.92	
637	0.08	
645	5.24	
657	4.88	
737	7.28	
774	3.44	
609	0.48	
693	3.48	
663	6.24	
669	7.28	
644	7.16	
698	4.28	
745	2.88	
647	4.6	
709	1.36	
739	3.12	

DRLP		
Makespan	Tardiness	time
654	94.76	0.802
634	96.16	
639	101.68	
651	103.8	
660	99.28	
668	102.92	
654	102.56	
643	95.16	
653	97.8	
676	98.28	
690	107.48	
673	100	
638	101.8	
740	107.8	
666	108.84	
670	111.32	
666	96.76	
678	93.24	
655	99.24	
647	94.36	

THDQN		
Makespan	Tardiness	time
1167	199.32	0.806
1320	204.56	
1151	211.48	
1244	188.68	
1092	185.52	
1287	222	
1189	184.64	
1263	229	
1164	198.2	
1323	222.52	
1191	200.32	
1170	218.12	
1164	178.16	
1310	233.84	
1188	204.64	
1356	248.32	
1173	223.68	
1270	199.16	
1348	243.56	
1127	227.64	

DMDDQN		
Makespan	Tardiness	time
1004	322.92	0.843
1030	371.24	
1009	362.6	
1087	401.44	
1179	482.64	
1054	396.24	
967	336.76	
1019	338.16	
981	361.88	
1036	425	
1054	353	
945	270.08	
1027	375	
1020	343.6	
900	287.56	
1144	489.76	
887	276.8	
1065	390.12	
1329	589.88	
947	306.68	

DDQN		
Makespan	Tardiness	time
710	43.32	0.728
736	53.84	
831	61.72	
714	41.88	
735	76.16	
776	86.52	
766	79.6	
807	103.32	
823	146.6	
713	48.2	
767	66.96	
804	76.16	
811	92.92	
743	90.2	
757	90.28	
831	63.52	
765	56.92	
830	77.92	
708	57.04	
759	88.52	

NSGA-II
Makespan	Tardiness	times
522	438	242.489367
529	172	
534	69	
546	48	
556	20	
649	17	
564	450	240.9638011
565	302	
566	133	
569	36	
619	0	
519	296	230.5878584
521	123	
529	106	
532	51	
549	45	
564	38	
590	15	
557	615	231.8571005
564	473	
566	463	
567	382	
572	226	
578	222	
579	173	
599	164	
604	146	
616	144	
566	189	232.4250636
570	136	
585	117	
586	72	
604	46	
630	42	
634	39	
668	35	
531	254	231.9399643
541	185	
552	183	
554	119	
557	116	
561	111	
572	94	
574	75	
575	65	
584	54	
592	0	
547	599	233.3241301
552	552	
553	289	
555	215	
573	155	
587	154	
608	104	
656	88	
541	335	232.0862019
550	306	
551	226	
555	215	
556	169	
575	92	
597	87	
542	417	229.2537143
558	272	
566	235	
576	219	
581	174	
587	155	
596	86	
550	612	229.0935295
564	554	
565	397	
567	322	
571	287	
575	248	
577	132	
590	130	
594	90	
617	87	
521	947	226.6445432
528	294	
533	293	
534	248	
535	246	
544	42	
556	0	
536	1058	227.0018723
537	615	
539	504	
543	342	
545	341	
554	245	
577	142	
612	129	
627	83	
646	74	
544	602	226.8481746
545	453	
555	315	
559	291	
560	227	
567	50	
613	48	
624	41	
640	2	
565	691	227.6092033
579	484	
583	445	
585	430	
588	335	
593	275	
598	236	
602	171	
626	140	
628	112	
546	730	225.2898378
549	457	
558	176	
594	137	
615	118	
537	910	224.4990966
545	628	
549	413	
561	291	
573	179	
596	0	
567	295	228.2105603
575	289	
577	245	
578	163	
591	74	
632	61	
534	678	227.6746242
548	564	
563	444	
569	443	
574	354	
579	325	
594	234	
596	213	
604	157	
642	135	
566	227	226.6753588
581	130	
583	59	
592	50	
611	47	
635	36	
571	723	229.0141697
579	703	
580	541	
586	370	
593	325	
601	152	

DKG-PPO		
Makespan	Tardiness	time
551	39	3.419
551	39	
551	39	
551	39	
551	39	
551	39	
551	39	
551	39	
551	39	
551	39	
551	39	
551	39	
551	39	
551	39	
551	39	
551	39	
551	39	
551	39	
551	39	
551	39	
