DRLU		
Makespan	Tardiness	 times
921	67	0.7
966	89.8	
897	94.92	
837	56.64	
963	84.16	
935	80.52	
876	74.6	
877	72.2	
927	75.44	
927	86.44	
876	53.56	
930	72.8	
830	49.88	
826	52.6	
945	72.6	
971	108.12	
918	79.52	
877	92.84	
974	106.24	
891	83.88	

DRLP		
Makespan	Tardiness	 times
880	182.36 0.73
874	200.36	
910	221.92	
854	183.52	
879	197.8	
866	196.96	
882	205.76	
806	183.6	
854	189.68	
907	210.04	
855	186.64	
901	190.4	
843	173.52	
796	160.52	
930	221.08	
842	198.92	
835	169.96	
828	181.16	
900	202.04	
860	193.36	

THDQN		
Makespan	Tardiness	 times
1214	232.84	0.763
1302	272.36	
1383	330.56	
1474	330.6	
1394	320	
1473	271.6	
1352	238.84	
1398	316.12	
1321	323.2	
1381	334.48	
1321	321.08	
1383	262.16	
1239	234.72	
1269	293	
1376	304.6	
1292	280.72	
1417	322.12	
1344	287.8	
1425	291.52	
1330	296.08	

DMDDQN		
Makespan	Tardiness	 times
1200	485.76	0.854
1348	592.2	
1619	782.72	
1377	623.12	
1317	594.64	
1246	516.12	
1401	580.36	
1364	635.84	
1394	660.48	
1167	472.36	
1184	486.68	
1302	581.32	
1384	605.4	
1200	518.24	
1279	554.36	
1247	505.08	
1363	558.92	
1304	552.56	
1346	606.88	
1234	503.24	

DDQN		
Makespan	Tardiness	 times
887	162.28	0.663
944	184.48	
999	218.2	
961	174.28	
939	189.24	
989	168.4	
915	176.32	
949	167.52	
918	193.8	
981	209.12	
908	174.6	
1016	237.28	
956	188.2	
1011	230.92	
986	230.08	
950	215.68	
920	193.8	
955	217.36	
973	182.04	
1007	257	

NSGA-II	
Makespan	Tardiness	times
734	2634	297.2499182
741	2296	
759	2223	
761	2164	
763	1999	
779	1869	
780	1769	
793	1323	
659	1278	300.5000455
690	1248	
692	1012	
705	897	
679	1759	298.173794
686	1638	
689	1296	
697	1064	
700	965	
720	893	
728	845	
761	839	
775	827	
670	1557	298.9541731
673	1251	
688	1189	
708	1065	
710	861	
740	3430	297.1930723
741	2339	
746	2084	
759	1753	
769	1600	
777	1510	
707	2358	295.3333359
711	1791	
732	1788	
734	1746	
735	1442	
771	1417	
784	1283	
788	1240	
817	1109	
717	1989	298.2319071
719	1816	
734	1730	
736	1689	
737	1592	
741	1412	
751	1282	
807	1118	
670	2512	304.2211673
677	1721	
689	1351	
705	1342	
724	1229	
744	1154	
687	1596	314.3019667
694	855	
694	2017	314.7790141
706	1977	
707	1907	
708	1904	
714	1089	
665	1239	306.5380046
675	1160	
684	926	
686	895	
698	711	
724	665	
751	628	
666	1778	306.0501325
667	1587	
674	1578	
675	1554	
678	1503	
688	1146	
709	1110	
720	1091	
724	885	
741	1864	305.9943082
759	1666	
765	1407	
668	2276	329.2582855
682	1935	
683	1841	
685	1444	
686	1296	
697	1292	
709	1287	
727	1261	
749	1254	
780	1245	
784	1234	
716	2141	321.3290546
721	2049	
722	1681	
733	1590	
742	1537	
754	1484	
755	1446	
757	1371	
766	1278	
803	1222	
812	1215	
772	3449	325.5646062
773	2725	
775	2342	
777	2224	
784	1992	
790	1888	
829	1621	
734	2764	317.6973455
737	2523	
748	2427	
749	2230	
765	2106	
768	1915	
782	1730	
789	1589	
675	1996	316.4328618
676	1934	
686	1812	
687	1637	
691	1450	
717	1433	
727	1332	
736	1315	
743	1227	
756	1166	
693	2800	322.7285168
717	2123	
733	2088	
735	1818	
757	1717	
758	1664	
759	1654	
769	1538	
699	2906	315.0945642
702	2788	
704	2198	
706	2017	
712	2001	
715	1795	
731	1748	
734	1617	
750	1567	
752	1435	
756	1402	

DKG-PPO		
Makespan	Tardiness	 times
730	73	3.451
730	73	
730	73	
730	73	
730	73	
730	73	
730	73	
730	73	
730	73	
730	73	
730	73	
730	73	
730	73	
730	73	
730	73	
730	73	
730	73	
730	73	
730	73	
730	73	
