DKG-PPO	
Makespan	Tardiness
198	0
204	0
212	0
178	0
188	3.77
246	0
185	24.94
183	0
218	0
198	0
179	0
208	0
200	0
197	0
175	0
151	9.96
168	0
200	0
174	0
180	0
211	12.08
181	0
171	0
186	0
197	0
184	0
206	0
165	0
193	0
203	0

IPPO	
Makespan	Tardiness
199	0
194	0
189	0
187	22
192	0
217	0
215	8.69
189	0
208	0
184	0
182	0
197	0
224	39.77
192	0
191	0
172	0
171	0
182	0
201	0
188	0
186	2.08
214	0
165	0
188	0
207	0
199	0
200	0
182	0
191	0
184	0
